T0_true,frac,N,mcs_res,comb_res,mcs_mae,comb_mae,mcs_rmse,comb_rmse,res_improve_pct
200.0,0.2,300,391.98014078815663,7.438783460809557,616.6712574133411,128.59964751233755,1204.1804912478592,128.7962822393583,98.10225501581473
200.0,0.4,300,137.8521267241375,5.749938763149417,458.79544447875213,82.32483396362021,1039.548719983899,82.52944569246671,95.82890819330201
200.0,0.6,300,57.997201545604995,5.99424359064145,154.9727024099393,43.82188595915702,551.0815564588346,44.22428490238822,89.664598582523
200.0,0.8,300,30.852135706165917,9.136387455156536,36.66806445611527,13.426409364744643,168.0083675479273,15.544261917954996,70.38653160944513
400.0,0.2,300,2037.5624964564113,6.471856821068727,986.9605910654358,273.26154025187736,1515.1054787577673,273.32847996873227,99.6823725980271
400.0,0.4,300,344.88409051898867,6.42419943604402,608.463416064685,179.28594319135271,1145.4229463844918,179.4313100299388,98.13728739230136
400.0,0.6,300,133.61694989646884,11.138095125733372,271.5957024606996,95.73873998407471,678.7726295566514,96.35116752754743,91.66416002283874
400.0,0.8,300,55.46396546536835,16.77609631709419,75.6302473139871,26.968040764848915,236.1602491947835,30.86696440387227,69.75316103647661
600.0,0.2,300,1968.1136782356,5.978694408704273,1109.0728608569102,418.34535432535466,1526.8024296063707,418.3860674119135,99.69622209962668
600.0,0.4,300,1887.4549285873811,9.016127082873574,830.7300626591476,277.3463932342034,1293.70997463815,277.50493580264265,99.52231298632273
600.0,0.6,300,275.068083282329,16.488742012678372,486.6400696779103,153.96573019695143,945.0561604086904,154.70262417948032,94.0055778860558
600.0,0.8,300,102.67656421597835,25.951830896036288,174.6219854878479,41.632762780012484,472.3958011784522,47.01653500882577,74.7246792934685
800.0,0.2,300,1866.4836923853677,6.792797850676313,1200.983814372907,565.6746669221046,1523.8795142017386,565.7145637032403,99.63606444147418
800.0,0.4,300,1769.907304969909,11.342450875008236,931.9335509016772,383.35650455230643,1315.6737209351227,383.5343951239516,99.35915000502239
800.0,0.6,300,438.54757482926215,20.076704181594245,578.6747584621228,214.7638287670773,992.5791579341944,215.57769150296662,95.42200086514887
800.0,0.8,300,130.4390972641338,30.19304955964281,232.4536256615071,62.33016292683579,559.401436303498,68.24019354304204,76.85276102570448
1000.0,0.2,300,1837.3684702510086,7.554871979112649,1159.1530177290456,721.8680023579273,1400.3836278389049,721.9072396942759,99.588821072015
1000.0,0.4,300,1700.8252451491662,12.726041873333944,890.4071089859913,493.95939107622473,1213.5565602810605,494.1349606199145,99.25177251986179
1000.0,0.6,300,1602.3736643237842,22.309014356397444,775.7998225179019,279.80205615754124,1139.4973471366793,280.7367987341177,98.60775205851802
1000.0,0.8,300,225.25473114067768,37.596592167251835,337.18261865314923,79.92306768781188,677.4883428717387,87.19474396181282,83.30929966404491
