T0_true,frac,mcs_ke,comb_ke,mcs_err,comb_err
200.0,0.2,152.16056790911097,76.19670973301609,-47.839432090889034,-123.80329026698391
200.0,0.2,358.1596467872083,77.0096691709939,158.15964678720832,-122.9903308290061
200.0,0.2,458.6417711001334,86.11405234578237,258.6417711001334,-113.88594765421763
200.0,0.2,147.16274773790235,74.23797835376723,-52.83725226209765,-125.76202164623277
200.0,0.2,291.57155072557583,81.78157766845489,91.57155072557583,-118.21842233154511
200.0,0.2,252.812326276361,71.2692398299479,52.812326276361006,-128.7307601700521
200.0,0.2,298.5282183146012,75.34219155004361,98.52821831460119,-124.65780844995639
200.0,0.2,588.1943087801609,77.7874341106506,388.1943087801609,-122.2125658893494
200.0,0.2,178.6160397877189,78.81342716908804,-21.383960212281096,-121.18657283091196
200.0,0.2,317.91918634308126,83.49011716711277,117.91918634308126,-116.50988283288723
200.0,0.2,140.89328234345925,73.61091928546425,-59.10671765654075,-126.38908071453575
200.0,0.2,476.459672258523,77.68585080892154,276.459672258523,-122.31414919107846
200.0,0.2,216.5052037687098,77.39196525604106,16.505203768709805,-122.60803474395894
200.0,0.2,1162.187233975902,90.00090049768926,962.187233975902,-109.99909950231074
200.0,0.2,261.6191072082362,79.5417523971378,61.61910720823619,-120.4582476028622
200.0,0.2,158.30870493450286,88.35152944057704,-41.691295065497144,-111.64847055942296
200.0,0.2,904.3052253528937,65.63069692184064,704.3052253528937,-134.36930307815936
200.0,0.2,166.15748954317996,90.81083467128212,-33.84251045682004,-109.18916532871788
200.0,0.2,1199.9999759442592,74.37221439223093,999.9999759442592,-125.62778560776907
200.0,0.2,1102.0722745309843,72.5424098190872,902.0722745309843,-127.4575901809128
200.0,0.2,221.64214333463227,86.1339778462662,21.642143334632266,-113.8660221537338
200.0,0.2,98.50953199157667,75.87562866767149,-101.49046800842333,-124.12437133232851
200.0,0.2,1199.9999643555504,72.64303274387468,999.9999643555504,-127.35696725612532
200.0,0.2,420.67227685954157,77.71482096391092,220.67227685954157,-122.28517903608908
200.0,0.2,211.7855937824768,77.1542011761738,11.785593782476809,-122.8457988238262
200.0,0.2,1199.9999715653244,73.78750044750201,999.9999715653244,-126.21249955249799
200.0,0.2,256.05657552166883,82.10777413482867,56.05657552166883,-117.89222586517133
200.0,0.2,385.9558564002058,76.59256260776861,185.9558564002058,-123.40743739223139
200.0,0.2,102.93259519580415,72.75560613292238,-97.06740480419585,-127.24439386707762
200.0,0.2,107.64450538225104,68.3863088581553,-92.35549461774896,-131.6136911418447
200.0,0.2,232.9392879509389,82.57362097269039,32.939287950938905,-117.42637902730961
200.0,0.2,117.02448171275555,65.09985001216158,-82.97551828724445,-134.9001499878384
200.0,0.2,121.86626731218679,58.42604132288294,-78.13373268781321,-141.57395867711705
200.0,0.2,189.7927601908286,73.28394115259954,-10.207239809171398,-126.71605884740046
200.0,0.2,1199.999972020141,83.46677761973889,999.9999720201411,-116.53322238026111
200.0,0.2,222.61787342836982,74.44078987767267,22.61787342836982,-125.55921012232733
200.0,0.2,97.91045448433252,67.89811384660317,-102.08954551566748,-132.10188615339683
200.0,0.2,196.8661299748151,78.42744661450305,-3.1338700251849048,-121.57255338549695
200.0,0.2,131.51785697514737,72.89766204039549,-68.48214302485263,-127.10233795960451
200.0,0.2,1199.9999646695117,79.53098697390938,999.9999646695117,-120.46901302609062
200.0,0.2,444.72177477911913,87.08567051301112,244.72177477911913,-112.91432948698888
200.0,0.2,230.64650038109374,76.00094760117162,30.646500381093745,-123.99905239882838
200.0,0.2,160.26240055100033,83.24557916454252,-39.737599448999674,-116.75442083545748
200.0,0.2,694.848172639532,65.58070632226935,494.848172639532,-134.41929367773065
200.0,0.2,1184.748234572632,90.70054689290532,984.7482345726321,-109.29945310709468
200.0,0.2,1199.999976722323,65.33012782313838,999.999976722323,-134.66987217686162
200.0,0.2,1199.9999755041597,66.42868860984757,999.9999755041597,-133.57131139015243
200.0,0.2,146.47675243072254,67.87501721629773,-53.52324756927746,-132.12498278370225
200.0,0.2,372.06701104346405,80.79151495466509,172.06701104346405,-119.20848504533491
200.0,0.2,873.6881887863577,80.85610024922883,673.6881887863577,-119.14389975077117
200.0,0.2,267.10103552893685,76.10168807125635,67.10103552893685,-123.89831192874365
200.0,0.2,1199.9999687987497,90.78272531039286,999.9999687987497,-109.21727468960714
200.0,0.2,143.49273510493472,68.39571424612056,-56.507264895065276,-131.60428575387942
200.0,0.2,122.96004425123925,77.3453649221366,-77.03995574876075,-122.6546350778634
200.0,0.2,120.92171935391686,90.06055256864825,-79.07828064608314,-109.93944743135175
200.0,0.2,121.48351037633765,69.38344947850919,-78.51648962366235,-130.6165505214908
